firm_name,addr_dept_main,n_offres,sector_main,avg_req_exp,avg_wage,top_skill_req,n_patents,ipc_main_code,ipc_main_desc,ipc_second_code,ipc_second_desc,addr_city_main
"Kahn, Maurice",13,,,,,,1,H01L,"SEMICONDUCTOR DEVICES; ELECTRIC SOLID STATE DEVICES NOT OTHERWISE PROVIDED FOR (use of semiconductor devices for measuring G01; resistors in general H01C; magnets, inductors, transformers H01F; capacitors in general H01G; electrolytic devices H01G0009000000; batteries, accumulators H01M; waveguides, resonators, or lines of the waveguide type H01P; line connectors, current collectors H01R; stimulated-emission devices H01S; electromechanical resonators H03H; loudspeakers, microphones, gramophone pick-ups or like acoustic electromechanical transducers H04R; electric light sources in general H05B; printed circuits, hybrid circuits, casings or constructional details of electrical apparatus, manufacture of assemblages of electrical components H05K; use of semiconductor devices in circuits having a particular application, see the subclass for the application);","","",Marseille
Kaino,75,3,"",,65000,"AWS, Collaboration",,,,,,
Kairos,29,,,,,,4,A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",A61Q,SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS,Concarneau
Kaiwen Consulting,59,,,,,,3,F21S,"NON-PORTABLE LIGHTING DEVICES OR SYSTEMS THEREOF (burners F23D; electric aspects or elements, see section H, e.g. electric light sources H01J, H01K, H05B)",F21V,"FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES, NOT OTHERWISE PROVIDED FOR",Marcq
"Kajdas, Hugo",34,,,,,,5,A01K,"ANIMAL HUSBANDRY; CARE OF BIRDS, FISHES, INSECTS; FISHING; REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS",B68B,HARNESS; DEVICES USED IN CONNECTION THEREWITH; WHIPS OR THE LIKE,Montpellier
Kalliste,38,,,,,,6,C02F,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE (processes for making harmful chemical substances harmless, or less harmful, by effecting a chemical change in the substances A62D0003000000; separation, settling tanks or filter devices  B01D; special arrangements on waterborne vessels of installations for treating water, waste water or sewage, e.g. for producing fresh water, B63J; adding materials to water to prevent corrosion C23F; treating radioactively-contaminated liquids G21F0009040000)",F24H,"FLUID HEATERS, e.g. WATER OR AIR HEATERS, HAVING HEAT-GENERATING MEANS, IN GENERAL (heat-transfer, heat-exchange or heat-storage materials C09K0005000000; tube furnaces for thermal non-catalytic cracking C10G0009200000; devices, e.g. valves, for venting and aerating enclosures F16K0024000000; steam traps or like apparatus F16T; steam generation F22; combustion apparatus F23; domestic stoves or ranges F24B, F24C; domestic- or space-heating systems F24D; furnaces, kilns, ovens, retorts F27; heat-exchangers F28; electric heating elements or arrangements H05B)",Grenoble
Kallistem,69,,,,,,2,C12N,"MICRO-ORGANISMS OR ENZYMES; COMPOSITIONS THEREOF (biocides, pest repellants or attractants, or plant growth regulators containing micro-organisms, viruses, microbial fungi, enzymes, fermentates, or substances produced by, or extracted from, micro-organisms or animal material A01N0063000000; medicinal preparations A61K; fertilisers C05F); PROPAGATING, PRESERVING, OR MAINTAINING MICRO-ORGANISMS; MUTATION OR GENETIC ENGINEERING; CULTURE MEDIA (microbiological testing media C12Q0001000000)","","",Lyon
"Kalogeropoulos, Leonidas",75,,,,,,2,A45D,"HAIRDRESSING OR SHAVING EQUIPMENT; MANICURING OR OTHER COSMETIC TREATMENT (wigs, toupees, or the like A41G0003000000, A41G0005000000; hairdressers' chairs A47C0001040000; hair cutting appliances, razors B26B)",B62J,"CYCLE SADDLES OR SEATS; ACCESSORIES PECULIAR TO CYCLES AND NOT OTHERWISE PROVIDED FOR, e.g. ARTICLE CARRIERS OR CYCLE PROTECTORS (registration plates B60R0013100000; cyclometers, i.e. wheel-revolution counters, G01C0022000000)",Paris
Kalori,69,,,,,,2,B60H,"ARRANGEMENTS OR ADAPTATIONS OF HEATING, COOLING, VENTILATING, OR OTHER AIR-TREATING DEVICES SPECIALLY FOR PASSENGER OR GOODS SPACES OF VEHICLES","","",Pusignan
Kalray,91,,,,,,36,G06F,"ELECTRIC DIGITAL DATA PROCESSING (computers in which a part of the computation is effected hydraulically or pneumatically G06D, optically G06E; computer systems based on specific computational models G06N; impedance networks using digital techniques H03H)",H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (typewriters B41J; order telegraphs, fire or police telegraphs G08B; visual telegraphy G08B, G08C; teleautographic systems G08C; ciphering or deciphering apparatus per seG09C; coding, decoding or code conversion, in general H03M; arrangements common to telegraphic and telephonic communication H04M; selecting H04Q; wireless communicationnetworksH04W)",Orsay
Kamax Innovative System,87,,,,,,2,A61B,"DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)","","",Limoges
Kanbios,,12,"",4,,"Anglais, Autonome",,,,,,
"Kandin, Patrice",13,,,,,,1,B65H,"HANDLING THIN OR FILAMENTARY MATERIAL, e.g. SHEETS, WEBS, CABLES","","",Meyrargues
Kantar SAS,78,,,,,,4,G10L,SPEECH ANALYSIS OR SYNTHESIS; SPEECH RECOGNITION; AUDIO ANALYSIS OR PROCESSING,G06T,"IMAGE DATA PROCESSING OR GENERATION, IN GENERAL (specially adapted for particular applications, see the relevant subclasses, e.g. G01C, G06K, G09G, H04N)",Chambourcy
Kaousmart,73,,,,,,4,E06B,"FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES, OR LIKE ENCLOSURES, IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES (shades or blinds for greenhouses A01G0009220000; curtains A47H; lids for car boots or bonnets B62D0025100000; sky-lights E04B0007180000; sunshades, awnings E04F0010000000)","","",La Motte en Bauges
Kapelse,54,,,,,,2,G06K,RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS (printing per se      B41J),H01Q,AERIALS (microwave radiators for near-field therapeutic treatment A61N0005040000; apparatus for testing aerials or for measuring aerial characteristics G01R; waveguides H01P; radiators or aerials for microwave heating H05B0006720000),Villers les Nancy
Kapflex,38,,,,,,1,G01F,"MEASURING VOLUME, VOLUME FLOW, MASS FLOW, OR LIQUID LEVEL; METERING BY VOLUME","","",Meylan
Kappa Offshore Solutions Marine Operations Service,64,,,,,,20,G01V,"GEOPHYSICS; GRAVITATIONAL MEASUREMENTS; DETECTING MASSES OR OBJECTS; TAGS (means for indicating the location of accidentally buried, e.g. snow-buried, persons A63B0029020000)",B08B,"CLEANING IN GENERAL; PREVENTION OF FOULING IN GENERAL (brushes A46; devices for domestic or like cleaning A47L; separation of particles from liquids or gases B01D; separation of solids B03, B07; spraying or applying liquids or other fluent materials to surfaces in general B05; cleaning devices for conveyers B65G0045100000; concurrent cleaning, filling and closing of bottles B67C0007000000; inhibiting corrosion or incrustation in general C23; cleaning streets, permanent ways, beaches or land E01H; parts, details or accessories of swimming or splash baths or pools, specially adapted for cleaning E04H0004160000; preventing or removing electrostatic charges H05F)",Bayonne
Kapsch CarrierCom France S.A.S.,78,,,,,,3,H04B,"TRANSMISSION (transmission systems for measured values, control or similar signals G08C; speech analysis or synthesis G10L; coding, decoding or code conversion, in general H03M; broadcast communication H04H; multiplex systems H04J; secret communication H04K; transmission of digital information H04L; wireless communication networks H04W)",H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (typewriters B41J; order telegraphs, fire or police telegraphs G08B; visual telegraphy G08B, G08C; teleautographic systems G08C; ciphering or deciphering apparatus per seG09C; coding, decoding or code conversion, in general H03M; arrangements common to telegraphic and telephonic communication H04M; selecting H04Q; wireless communicationnetworksH04W)",Montigny le Bretonneux
Kapsys,62,,,,,,5,G06F,"ELECTRIC DIGITAL DATA PROCESSING (computers in which a part of the computation is effected hydraulically or pneumatically G06D, optically G06E; computer systems based on specific computational models G06N; impedance networks using digital techniques H03H)",G10L,SPEECH ANALYSIS OR SYNTHESIS; SPEECH RECOGNITION; AUDIO ANALYSIS OR PROCESSING,Mougins
Kaptalia Monitoring,56,,,,,,1,G16H,"","","",Vannes
Kapteos,73,,,,,,2,G01R,"MEASURING ELECTRIC VARIABLES; MEASURING MAGNETIC VARIABLES (measuring physical variables of any kind by conversion into electric variables, see Note (4) following the title of class G01; measuring diffusion of ions in an electric field, e.g. electrophoresis, electro-osmosis, G01N; investigating non-electric or non-magnetic properties of materials by using electric or magnetic methods G01N; indicating correct tuning of resonant circuits H03J0003120000; monitoring electronic pulse counters H03K0021400000; monitoring operation of communication systems H04)","","",Le Bourget du Lac
Kara Technology,49,,,,,,5,A47B,TABLES; DESKS; OFFICE FURNITURE; CABINETS; DRAWERS; GENERAL DETAILS OF FURNITURE (jointing of furnitureF16B0012000000),B60N,VEHICLE PASSENGER ACCOMMODATION NOT OTHERWISE PROVIDED FOR (furniture construction A47),Verrieres en Anjou
Karcinolys,92,,,,,,5,A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",A61P,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS,Rueil Malmaison
Kardiozis,13,,,,,,19,A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, E.G. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)",A61B,"DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)",Aix en Provence
Kareus Therapeutics SA,,,,,,,15,C07C,"ACYCLIC OR CARBOCYCLIC COMPOUNDS (macromolecular compounds C08; production of organic compounds by electrolysis or electrophoresis C25B0003000000, C25B0007000000)",C07D,HETEROCYCLIC COMPOUNDS (macromolecular compounds C08),La Chaux
"Karlberg, Nils",81,,,,,,5,F02G,"HOT-GAS OR COMBUSTION-PRODUCT POSITIVE-DISPLACEMENT ENGINE PLANTS (steam engine plants, special vapour plants, plants operating on either hot gas or combustion-product gases together with other fluid F01K; gas-turbine plants F02C; jet-propulsion plants F02K); USE OF WASTE HEAT OF COMBUSTION ENGINES, NOT OTHERWISE PROVIDED FOR",B23P,OTHER WORKING OF METAL; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS (arrangements for copying or controlling B23Q),Le Bez
Karver,14,,,,,,1,B66D,"CAPSTANS; WINCHES; TACKLES, e.g. PULLEY BLOCKS; HOISTS (winding or unwinding ropes or cables for feeding or storage purposes B65H; rope or cable-winding or unwinding mechanisms for lifts B66B; hoisting devices specially adapted for suspended scaffolds E04G0003320000)","","",Honfleur
Kasios,31,,,,,,3,A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, E.G. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)","","",Launaguet
Kaufel SA,89,,,,,,11,F21V,"FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES, NOT OTHERWISE PROVIDED FOR",F21S,"NON-PORTABLE LIGHTING DEVICES OR SYSTEMS THEREOF (burners F23D; electric aspects or elements, see section H, e.g. electric light sources H01J, H01K, H05B)",Piffonds
Kaufler - SMO International,22,,,,,,1,B26D,"CUTTING; DETAILS COMMON TO MACHINES FOR SEVERING, e.g. BY CUTTING, PERFORATING, PUNCHING, STAMPING-OUT (soil-working A01B; for growing crops or plants A01D, A01G; for fodder or straw A01F; for bulk butter A01J; for dough A21C; slaughtering A22B; for tobacco, cigars or cigarettes A24; marking-out, perforating or making buttonholes A41H0025000000; manufacturing footwear A43D; brushmaking A46D; surgery A61B; disintegrating, mincing or shredding in general B02C; cutting wire, making pins or nails B21F, B21G; of the kind used for metal B23; cutting by abrasive fluid jets B24C0005020000; hand-held cutting tools B26B; perforating, cutting-out, stamping-out or punching, or severing by means other than cutting B26F; for wood B27; for stone B28D; working of plastics or substances in a plastic state B29; making boxes, cartons, envelopes or bags, of paper or similarly worked materials, e.g. metal foil, B31B; article or web delivery apparatus incorporating cutting or line-perforating devices B65H0035000000; for leather or upholstery B68, C14B; for glass C03B; making matches C06F; for peat C10F; for sugar C13B0045000000; for textile materials D06H; civil engineering, building, mining, see section Edevices for withdrawing samples by cutting G01N0001040000; for light guides G02B0006250000; cutting processed photographic material G03D0015040000)","","",Loudeac
Kawneer France SAS,34,,,,,,4,E06B,"FIXED OR MOVABLE CLOSURES FOR OPENINGS IN BUILDINGS, VEHICLES, FENCES, OR LIKE ENCLOSURES, IN GENERAL, e.g. DOORS, WINDOWS, BLINDS, GATES (shades or blinds for greenhouses A01G0009220000; curtains A47H; lids for car boots or bonnets B62D0025100000; sky-lights E04B0007180000; sunshades, awnings E04F0010000000)","","",Vendargues
"Kaya, Nicolas",84,,,,,,1,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS, OR SEAWEED; FORESTRY; WATERING (picking of fruits, vegetables, hops, or the like A01D0046000000; plant reproduction by tissue culture techniques A01H0004000000; devices for topping or skinning onions or flower bulbs A23N0015080000; propagating unicellular algae C12N0001120000; plant cell culture C12N0005000000)","","",Carpentras
Kayflo Developpement,97,,,,,,2,B63B,"SHIPS OR OTHER WATERBORNE VESSELS; EQUIPMENT FOR SHIPPING (air-cushion vehicles B60V; arrangements of vessel ventilation, heating, cooling, or air-conditioning B63J0002000000)","","",Fort de France
Kayla Therapeutics,31,,,,,,6,A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",A61P,SPECIFIC THERAPEUTIC ACTIVITY OF CHEMICAL COMPOUNDS OR MEDICINAL PREPARATIONS,L Union
Kazuba (Sarl),13,,,,,,1,A47K,"SANITARY EQUIPMENT NOT OTHERWISE PROVIDED FOR (connecting to water supply or waste pipe, sinks E03C; water-closets E03D); TOILET ACCESSORIES (cosmetic equipment A45D)","","",Arles
Kaïbee,75,1,"",,164250,Autonome,,,,,,
Keepen,75,,,,,,2,G08B,"SIGNALLING OR CALLING SYSTEMS; ORDER TELEGRAPHS; ALARM SYSTEMS (signalling arrangements on vehicles B60Q, B62D0041000000; railway signalling systems or devices B61L; on cycles B62J0003000000, B62J0006000000; safes or strong-rooms with alarm devices E05G; signalling or alarm devices in mines E21F0017180000; sensitive measuring elements, see the appropriate subclasses of G01; traffic control systems G08G; visual indicating means G09; sound-producing devices G10; radio or near-field calling systems H04B0005000000, H04B0007000000)","","",Paris
Keey Aerogel,68,,,,,,2,B01J,"CHEMICAL OR PHYSICAL PROCESSES, e.g. CATALYSIS, COLLOID CHEMISTRY; THEIR RELEVANT APPARATUS (processes or apparatus for specific applications, see the relevant places for these processes or apparatus, e.g. F26B0003080000)","","",Schlierbach
"Keilert, Jürgen",68,,,,,,2,C08J,"WORKING-UP; GENERAL PROCESSES OF COMPOUNDING; AFTER-TREATMENT NOT COVERED BY SUBCLASSES  C08B, C08C, C08F, C08G;  or C08H; (working, e.g. shaping, of plastics B29)","","",Wintzenheim
Kelenn Technology,91,,,,,,9,B05C,"APPARATUS FOR APPLYING LIQUIDS OR OTHER FLUENT MATERIALS TO SURFACES, IN GENERAL (spraying apparatus, atomising apparatus, nozzles B05B; plant for applying liquids or other fluent materials to objects by electrostatic spraying B05B0005080000)",B29C,"SHAPING OR JOINING OF PLASTICS; SHAPING OF SUBSTANCES IN A PLASTIC STATE, IN GENERAL; AFTER- TREATMENT OF THE SHAPED PRODUCTS, e.g. REPAIRING (working in the manner of metal B23; grinding, polishing B24; cutting B26D, B26F; making preforms B29B0011000000;  making laminated products by combining previously unconnected layers which become one product whose layers will remain together B32B0037000000-B32B0041000000)",Palaiseau
Kelkoo LTD,38,1,"ESN, Secteur informatique",,,Deep Learning,,,,,,
"Keller, Sacha Alexis",94,,,,,,1,A01G,"HORTICULTURE; CULTIVATION OF VEGETABLES, FLOWERS, RICE, FRUIT, VINES, HOPS, OR SEAWEED; FORESTRY; WATERING (picking of fruits, vegetables, hops, or the like A01D0046000000; plant reproduction by tissue culture techniques A01H0004000000; devices for topping or skinning onions or flower bulbs A23N0015080000; propagating unicellular algae C12N0001120000; plant cell culture C12N0005000000)","","",Ivry sur Seine
Kelly Services,91,1,"Biotechn., Chimie",1,,"Anglais, Collaboration",,,,,,
Kelvion,62,,,,,,6,F04D,NON-POSITIVE-DISPLACEMENT PUMPS (engine fuel-injection pumps F02M; ion pumps H01J0041120000; electrodynamic pumps H02K0044020000),F28D,"HEAT-EXCHANGE APPARATUS, NOT PROVIDED FOR IN ANOTHER SUBCLASS, IN WHICH THE HEAT-EXCHANGE MEDIA DO NOT COME INTO DIRECT CONTACT (heat-transfer, heat-exchange or heat-storage materials C09K0005000000;  fluid heaters having heat generating means and heat transferring means F24H; furnaces F27; details of heat-exchange apparatus of general application F28F); HEAT STORAGE PLANTS OR APPARATUS IN GENERAL",Wingles
Kem One,69,,,,,,4,C02F,"TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE (processes for making harmful chemical substances harmless, or less harmful, by effecting a chemical change in the substances A62D0003000000; separation, settling tanks or filter devices  B01D; special arrangements on waterborne vessels of installations for treating water, waste water or sewage, e.g. for producing fresh water, B63J; adding materials to water to prevent corrosion C23F; treating radioactively-contaminated liquids G21F0009040000)",B41J,"TYPEWRITERS; SELECTIVE PRINTING MECHANISMS, i.e. MECHANISMS PRINTING OTHERWISE THAN FROM A FORME; CORRECTION OF TYPOGRAPHICAL ERRORS (composing B41B; printing on special surfaces B41F; laundry marking B41K; erasers, rubbers or erasing devices B43L0019000000; fluid media for correction of typographical errors by coating C09D0010000000; recording the results of measuring G01; recognition or presentation of data, marking record carriers in digital fashion, e.g. by punching, G06K; franking or ticket-printing and issuing apparatus G07B; electric keyboard switches, in general H01H0013700000, H03K0017940000; coding in connection with keyboards or like devices, in general H03M0011000000; receivers or transmitters for transmission of digital information H04L; transmission or reproduction of documents, or the like, e.g. facsimile transmission, H04N0001000000; printing mechanisms specially adapted for apparatus, e.g. cash registers, weighing machines, producing records of their own performance, see the relevant subclasses);",Lyon
Kemiwatt,35,,,,,,12,H01M,"PROCESSES OR MEANS, e.g. BATTERIES, FOR THE DIRECT CONVERSION OF CHEMICAL ENERGY INTO ELECTRICAL ENERGY (electrochemical processes or apparatus in general C25; semiconductor or other solid state devices for converting light or heat into electrical energy H01L, e.g. H01L0031000000, H01L0035000000, H01L0037000000)","","",Rennes
Keolis Tours,37,1,"",,,"Collaboration, Curiosité",,,,,,
Kephalios S.A.S.,75,,,,,,10,A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, E.G. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)",A61B,"DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)",Paris
"Ker Chemistry, Sarl",78,,,,,,14,A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",A61Q,SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS,Le Vesinet
Keranova,42,,,,,,13,A61F,"FILTERS IMPLANTABLE INTO BLOOD VESSELS; PROSTHESES; DEVICES PROVIDING PATENCY TO, OR PREVENTING COLLAPSING OF, TUBULAR STRUCTURES OF THE BODY, E.G. STENTS; ORTHOPAEDIC, NURSING OR CONTRACEPTIVE DEVICES; FOMENTATION; TREATMENT OR PROTECTION OF EYES OR EARS; BANDAGES, DRESSINGS OR ABSORBENT PADS; FIRST-AID KITS (dental prosthetics A61C)",A61B,"DIAGNOSIS; SURGERY; IDENTIFICATION (analysing biological material G01N, e.g. G01N0033480000)",Saint etienne
"Kerber, Thierry",75,,,,,,3,G01S,RADIO DIRECTION-FINDING; RADIO NAVIGATION; DETERMINING DISTANCE OR VELOCITY BY USE OF RADIO WAVES; LOCATING OR PRESENCE-DETECTING BY USE OF THE REFLECTION OR RERADIATION OF RADIO WAVES; ANALOGOUS ARRANGEMENTS USING OTHER WAVES,"","",Paris
"Kerckove, Yves",65,,,,,,2,F03B,MACHINES OR ENGINES FOR LIQUIDS (machines or engines for liquids and elastic fluids F01; positive-displacement engines for liquids F03C; positive-displacement machines for liquids F04),"","",Pegomas
Kering,75,1,"Commerce de gros, Distribution",,,"Anglais, Curiosité",,,,,,
"Kerjean, Joël",44,,,,,,2,A61N,"ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY (measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B0018000000; anaesthetic apparatus in general A61M; incandescent lamps H01K; infra-red radiators for heating H05B)",G21K,TECHNIQUES FOR HANDLING PARTICLES OR IONISING RADIATION NOT OTHERWISE PROVIDED FOR; IRRADIATION DEVICES; GAMMA RAY OR X-RAY MICROSCOPES,Saint Herblain
Kerlink,35,,,,,,33,H04W,WIRELESS COMMUNICATION NETWORKS,H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (typewriters B41J; order telegraphs, fire or police telegraphs G08B; visual telegraphy G08B, G08C; teleautographic systems G08C; ciphering or deciphering apparatus per seG09C; coding, decoding or code conversion, in general H03M; arrangements common to telegraphic and telephonic communication H04M; selecting H04Q; wireless communicationnetworksH04W)",Rennes
Kerneos,92,,,,,,61,C04B,"LIME; MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF, e.g. MORTARS, CONCRETE OR LIKE BUILDING MATERIALS; ARTIFICIAL STONE; CERAMICS (devitrified glass-ceramics C03C0010000000); REFRACTORIES (alloys based on refractory metals C22C); TREATMENT OF NATURAL STONE",B22D,"CASTING OF METALS; CASTING OF OTHER SUBSTANCES BY THE SAME PROCESSES OR DEVICES (shaping of plastics or substances in a plastic state B29C; metallurgical processing, selection of substances to be added to metal C21, C22)",Neuilly sur Seine
Kerostin Medical,56,,,,,,4,B60B,"VEHICLE WHEELS (making wheels or wheel parts by rolling B21H0001000000, by forging, hammering or pressing B21K0001280000); CASTORS; AXLES; INCREASING WHEEL ADHESION",A61G,"TRANSPORT, PERSONAL CONVEYANCES, OR ACCOMMODATION SPECIALLY ADAPTED FOR PATIENTS OR DISABLED PERSONS (appliances for aiding patients or disabled persons to walk A61H0003000000); OPERATING TABLES OR CHAIRS; CHAIRS FOR DENTISTRY; FUNERAL DEVICES (embalming corpses A01N0001000000)",Riantec
Kerquest,73,,,,,,9,H04W,WIRELESS COMMUNICATION NETWORKS,G06K,RECOGNITION OF DATA; PRESENTATION OF DATA; RECORD CARRIERS; HANDLING RECORD CARRIERS (printing per se      B41J),Chindrieux
Kervelo,74,,,,,,14,B62M,RIDER PROPULSION OF WHEELED VEHICLES OR SLEDGES; POWERED PROPULSION OF SLEDGES OR CYCLES; TRANSMISSIONS SPECIALLY ADAPTED FOR SUCH VEHICLES (arrangements or mounting of transmissions in vehicles in general B60K; transmission elements per seF16),B62K,"CYCLES; CYCLE FRAMES; CYCLE STEERING DEVICES; RIDER-OPERATED TERMINAL CONTROLS SPECIALLY ADAPTED FOR CYCLES; CYCLE AXLE SUSPENSIONS; CYCLE SIDECARS, FORECARS, OR THE LIKE",Mont Saxonnex
Key Neurosciences SAS,75,,,,,,5,A47F,"SPECIAL FURNITURE, FITTINGS, OR ACCESSORIES FOR SHOPS, STOREHOUSES, BARS, RESTAURANTS, OR THE LIKE; PAYING COUNTERS",A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",Paris
Keynectis,92,,,,,,3,G06F,"ELECTRIC DIGITAL DATA PROCESSING (computers in which a part of the computation is effected hydraulically or pneumatically G06D, optically G06E; computer systems based on specific computational models G06N; impedance networks using digital techniques H03H)",H04L,"TRANSMISSION OF DIGITAL INFORMATION, e.g. TELEGRAPHIC COMMUNICATION (typewriters B41J; order telegraphs, fire or police telegraphs G08B; visual telegraphy G08B, G08C; teleautographic systems G08C; ciphering or deciphering apparatus per seG09C; coding, decoding or code conversion, in general H03M; arrangements common to telegraphic and telephonic communication H04M; selecting H04Q; wireless communicationnetworksH04W)",Issy les Moulineaux
Kfm Technology,91,,,,,,1,B81C,"PROCESSES OR APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OR TREATMENT OF MICRO-STRUCTURAL DEVICES OR SYSTEMS (making microcapsules or microballoons B01J0013020000; processes or apparatus specially adapted for the manufacture or treatment of piezo-electric, electrostrictive or magnetostrictive elements per seH01L0041220000)","","",Villebon sur Yvette
Khorionyx,69,,,,,,10,A61K,"PREPARATIONS FOR MEDICAL, DENTAL, OR TOILET PURPOSES (devices or methods specially adapted for bringing pharmaceutical products into particular physical or administering forms A61J0003000000; chemical aspects of, or use of materials for deodorisation of air, for disinfection or sterilisation, or for bandages, dressings, absorbent pads or surgical articles A61L)",A61L,"METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL; DISINFECTION, STERILISATION, OR DEODORISATION OF AIR; CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES; MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agent employed A01N; preserving, e.g. sterilising, food or foodstuffs A23; preparations for medical, dental or toilet purposes A61K)",La Tour de Salvagny
